Sentence,Words,Template,Keywords,Slope_F1A,Inflection_F1A,Screening_F1A,Screening_F1P,Screening_F1V,Screening_F2A,Screening_F2P,Screening_F2V,Screening_M1A,Screening_M1P,Screening_M1V,Screening_M2A,Screening_M2P,Screening_M2V,Naturalness,Discomfort,Responses
163,Redaktøren arbejdede meget under valgkampen,3,"redaktøren, arbejdede, valgkampen",10.59551983,-6.832634995,1,1,1,1,1,1,1,1,1,1,1,1,6.19,1,16
164,Hun har besluttet hvordan vi skal sænke niveauet,4,"besluttet, sænke, niveauet",11.40892771,-5.85250763,1,1,1,1,1,1,1,1,1,1,0,1,5.44,0,16
165,Det er rigtigt at kongressen vil påtage sig projektet,5,"rigtigt, påtage, projektet",11.2315218,-5.470331858,1,1,1,0,1,1,1,1,1,1,0,1,6.25,0,8
166,I april skal vi igen levere asier til centeret,6,"april, levere, centeret",24.22770099,-5.27685356,1,1,0,1,1,1,1,1,1,1,1,1,4.75,1,16
167,Den fyr der har lige solgt os noget elegant tøj,7,"fyr, solgt, tøj",31.82231274,-5.55478711,1,0,0,1,0,1,1,1,1,1,1,0,4.38,2,16
168,Han havde accepteret at de forandrede spillet,8,"accepteret, forandrede, spillet",6.447791994,-4.605534175,1,1,1,1,1,0,1,1,1,1,1,1,5.44,0,16
169,Det var en professor som demonstrerede teorien,9,"professor, demonstrerede, teorien",13.54506725,-6.478989185,1,1,1,1,1,0,1,1,1,1,0,1,5.81,1,16
170,Jeg uddannede mig til pædagog efter folkeskolen,10,"uddannede, pædagog, folkeskolen",252.3772126,-7.31458858,1,1,1,1,1,1,1,1,1,1,1,1,6.75,0,8
171,Der er få mennesker der argumenterer imod unionen,1,"mennesker, argumenterer, unionen",11.8233549,-1.707479965,0,1,1,1,1,1,1,1,1,0,0,1,5.81,1,16
172,Vi er forsigtige selvom vi selv har forfattet kontrakten,2,"forsigtige, forfattet, kontrakten",250.2537919,-7.260454336,1,1,1,1,1,0,1,1,1,1,1,1,4.44,1,16
173,Ugebladet citerede ham for den bemærkning,3,"ugebladet, citerede, bemærkning",18.48264603,-3.748521935,1,1,1,1,1,1,1,1,1,1,1,1,6.75,0,8
174,Han kan mærke hvor hånden berører nettet,4,"mærke, hånden, nettet",9.049587368,-2.716259517,1,1,1,1,1,1,1,1,1,1,1,1,4,1,16
175,Det var lidt sjovt at skyen lignede en bamse,5,"sjovt, lignede, bamse",13.43598597,-4.43456848,1,1,1,1,1,1,1,1,1,1,1,1,6.63,0,8
176,Hver aften gentager han de samme replikker,6,"aften, gentager, replikker",9.567276699,-4.914814035,1,1,1,1,1,1,1,1,0,1,1,1,6.19,0,16
177,En konsulent har hjulpet hende med statistikken,7,"konsulent, hjulpet, statistikken",13.98053151,-5.601530241,1,1,1,1,1,1,1,1,1,1,1,1,6.25,0,16
178,Vi vil gerne fejre at vi skal på ferie i morgen,8,"fejre, ferie, morgen",15.07045091,-4.810363495,1,1,1,1,1,0,1,1,1,1,0,1,6.25,0,16
179,Det er en konkurrence som tiltrækker mange ryttere,9,"konkurrence, tiltrækker, ryttere",11.30903597,-6.036560721,1,1,1,1,1,0,1,1,1,1,1,1,6.31,0,16
180,Hun kan godt fremstå lidt kølig eller formel i starten,10,"fremstå, kølig, starten",10.93120366,-6.645467975,1,1,1,1,0,1,1,1,0,1,1,1,6.44,0,16
181,Der var flere lande der søgte en alliance,1,"lande, søgte, alliance",14.12355413,-6.221000817,1,1,1,1,1,0,1,1,1,1,0,1,5.93,0,14
182,Hun var meget social når hun opholdt sig i provinsen,2,"social, opholdt, provinsen",7.849075762,-4.331411299,1,1,1,1,1,1,1,1,0,1,1,1,5.75,0,8
183,Beboerne befinder sig egentlig godt i deres lejligheder,3,"beboerne, befinder, lejligheder",5.958129902,-3.028682333,1,1,1,1,1,1,1,1,1,1,1,1,5.43,0,14
184,Jeg har hørt hvorfor han isolerede sit sommerhus,4,"hørt, isolerede, sommerhus",6.376403292,-5.116847094,1,1,1,1,1,1,1,1,1,1,1,1,5.88,0,8
185,Det er fint at ministeren kan inspirere landsholdet,5,"fint, ministeren, landsholdet",16.29146571,-6.686930116,1,1,1,1,1,0,1,1,0,1,1,1,6,0,8
186,I juli stod han selv for rengøringen i hjemmet,6,"stod, rengøringen, hjemmet",241.7502873,-5.104606094,1,1,1,1,1,1,0,1,1,1,0,1,6.38,0,8
187,De måtte faktisk bære skrivebordet helt hen til kirken,7,"bære, skrivebordet, kirken",31.65431543,-4.442480372,1,1,1,1,1,1,1,1,1,1,1,1,5.13,0,8
188,Vi nød selvfølgelig at de behandlede os som konger,8,"nød, behandlede, konger",13.14817984,-2.80253882,0,1,1,1,1,1,1,1,1,1,1,1,5.77,1,13
189,Det var en avis som ville begrænse sit forbrug,9,"avis, begrænse, forbrug",20.88076377,-4.21810788,1,1,0,1,1,1,1,1,1,1,1,1,4.5,0,8
190,Han havde gennemstegt og krydret bøfferne,10,"gennemstegt, krydret, bøfferne",7.084482495,0.556958186,1,1,1,1,1,1,1,1,1,1,1,1,6.63,0,8
191,Der er et par der har udarbejdet nogle huskeregler,1,"par, udarbejdet, huskeregler",16.9856883,-3.679868263,1,1,1,1,1,1,1,1,1,1,1,1,4.86,0,14
192,Han var bange for at vi slukkede for hans mobiltelefon,2,"bange, slukkede, mobiltelefon",12.27606583,-4.158070005,1,1,1,1,1,1,1,1,1,1,0,1,5.79,1,14
193,I burde nok drøfte ordningen med en dommer,3,"drøfte, ordningen, dommer",21.7539101,-4.629903867,1,1,1,1,1,1,1,1,1,1,1,1,6.07,0,15
194,Han erkendte at han måtte udsætte arrangementet,4,"erkendte, udsætte, arrangementet",46.04574342,-3.604724069,1,1,1,1,1,1,1,1,0,0,1,1,6.29,0,14
195,Det var sært at alle stjernerne lød så almindelige,5,"sært, lød, almindelige",26.254803,-4.142950185,1,1,1,1,1,1,1,0,1,1,0,1,2.62,0,13
196,Hver eneste dag løfter de en hel masse kasser,6,"dag, løfter, kasser",11.14118439,-6.079620212,1,1,1,1,1,1,1,1,1,1,1,1,5.86,0,14
197,Brugerne kan henvende sig til vores afdeling,7,"brugerne, henvende, afdeling",23.91304436,-4.064106198,1,1,1,1,0,1,1,1,0,1,1,1,5.92,0,13
198,Hun har demonstreret at hun kan styre centeret,8,"demonstreret, styre, centeret",14.71892428,-4.168374417,1,1,1,1,1,1,1,1,0,1,1,1,5.5,1,14
199,Det er et hold som kan ændre superligaen,9,"hold, ændre, superligaen",29.61605905,-2.809240795,1,1,1,1,1,1,1,0,1,1,1,0,6.15,0,13
200,Det kan ende med en førsteplads eller en andenplads,10,"ende, førsteplads, andenplads",23.95561977,-5.027004693,1,1,1,1,1,1,1,1,1,1,1,1,6.88,0,8
201,Der var en flok der gik rundt på vores marker,1,"flok, gik, marker",11.50120758,-3.713081129,1,1,1,1,1,1,1,1,0,1,1,1,4.87,2,15
202,Hun er dygtig fordi hun selv kunne løse problemet,2,"dygtig, løse, problemet",20.17521842,-6.635582795,1,1,1,1,1,1,1,1,0,1,1,1,5.47,0,15
203,Han har endelig fundet glæden i hverdagen,3,"fundet, glæden, hverdagen",21.66582905,-2.900541065,1,1,1,1,1,1,1,1,1,1,1,1,6,0,16
204,Vi styrer selv hvordan vi foretager målingerne,4,"styrer, foretager, målingerne",12.59870838,-5.452013611,1,1,1,1,1,1,1,1,0,1,1,1,6.2,0,15
205,Det er flot at det her initiativ overhovedet eksisterer,5,"flot, initiativ, eksisterer",9.377780334,-7.207516947,1,1,1,1,1,1,1,0,1,1,1,1,5.56,0,16
206,I september skal vi nok standse byggeriet,6,"september, standse, byggeriet",7.082562054,-4.666288744,1,1,1,1,0,1,1,1,1,1,1,1,5.53,0,15
207,Deres indsats sikrede dem et nyt mandat,7,"indsats, sikrede, mandat",6.632809538,-6.497884378,1,1,1,1,1,1,1,1,1,1,1,1,6,0,16
208,Jeg forventer at de renser cyklerne inden etapen,8,"forventer, cyklerne, etapen",7.283890179,-4.098074698,1,1,1,1,1,1,1,1,1,1,0,1,6,0,16
209,Det var nemlig fodbold som forenede alle tilskuerne,9,"fodbold, forenede, tilskuerne",15.01700458,-6.279154457,1,1,1,0,1,1,1,1,1,1,1,1,4.63,1,16
210,Han havde fortjent både gevinsten og gaverne,10,"fortjent, gevinsten, gaverne",4.068891925,-3.457856178,1,1,1,1,1,1,1,1,1,1,0,1,6.33,0,15
211,Der er en landmand der uddeler gratis æbler,1,"landmand, uddeler, æbler",15.23134089,-3.602838663,0,1,1,1,0,1,1,1,1,1,1,1,6.75,0,8
212,Han var for hurtig da han planlagde turneringen,2,"hurtig, planlagde, turneringen",11.09488265,-5.101044502,1,1,1,1,1,0,1,1,0,1,0,1,5.69,0,16
213,Min ven arbejder stadigvæk på et landbrug,3,"ven, arbejder, landbrug",8.994329104,-4.501505706,1,1,1,1,1,0,1,1,1,1,1,1,6,0,8
214,Vi skal tælle hvor mange rækker de markerer,4,"tælle, rækker, markerer",9.183161454,-6.338108336,1,1,1,1,1,0,1,1,1,1,1,1,4.33,1,15
215,Det var klart at bordene tilhørte arbejdspladsen,5,"klart, bordene, arbejdspladsen",8.763846029,-3.177559274,0,1,1,0,1,1,1,1,1,1,1,1,5.73,0,15
216,I morgen vil de åbenbart forstærke gulvet,6,"morgen, forstærke, gulvet",7.520627391,-2.788222118,1,1,1,1,1,1,1,0,1,1,1,1,4.63,0,8
217,Selskabet har faktisk publiceret otte bøger,7,"selskabet, publiceret, bøger",11.69197386,-5.883827269,1,1,1,1,1,1,1,1,1,1,1,1,6.75,0,8
218,Hun syntes at vi skulle variere spørgsmålene,8,"syntes, variere, spørgsmålene",50.36348583,-6.190122688,1,1,1,1,1,1,1,1,1,1,1,1,6.27,0,15
219,Det er kun lønnen som begejstrer vores lektor,9,"lønnen, begejstrer, lektor",14.36165973,-3.474386442,1,1,1,1,1,1,1,1,1,1,1,1,5.06,1,16
220,Hun dukkede pludselig op med et glas og en øl,10,"dukkede, glas, øl",12.07315362,-6.835693606,1,1,1,1,1,1,1,1,1,1,1,1,6.07,0,15
221,Der er ret mange dansere der går til badminton,1,"dansere, går, badminton",38.20887125,-6.004991306,1,1,1,1,1,1,1,0,1,1,1,1,5.5,0,8
222,Hun er stolt fordi vi reklamerer for hendes galleri,2,"stolt, reklamerer, galleri",8.491624157,-5.43664089,1,1,1,1,1,1,1,1,1,1,1,1,6.75,0,8
223,Vi vil først spørge vores nabo om ændringerne,3,"spørge, nabo, ændringerne",4.970640955,-4.59545664,1,1,1,1,0,1,1,1,1,1,1,1,6.25,0,8
224,Jeg kan selv vælge hvem der skal lede mit firma,4,"vælge, lede, firma",12.77025565,-4.337099006,1,1,1,1,1,1,1,1,1,1,1,1,6.25,0,16
225,Det er godt at de vil lytte til vores klager,5,"godt, lytte, klager",25.88584432,-5.102211812,1,1,1,1,1,1,1,1,1,1,1,1,6.25,0,16
226,I september må man igen ride i anlægget,6,"september, ride, anlægget",10.06919407,-3.101267723,1,1,0,1,1,1,1,1,0,1,1,1,5.63,1,16
227,Borgmesteren tilbød os heldigvis et alternativ,7,"borgmesteren, tilbød, alternativ",15.70250139,-5.680615582,1,1,1,1,1,1,1,1,1,1,1,1,6.63,0,8
228,De har afvist at de vil uddele flere biler lige nu,8,"afvist, uddele, biler",16.4389871,-4.430873089,1,1,1,1,1,0,1,1,1,1,1,1,4.13,0,8
229,Det var hans synspunkter som tiltalte min veninde,9,"synspunkter, tiltalte, veninde",6.648169556,-2.902938011,1,1,1,1,1,0,1,1,1,1,1,0,5.88,0,8
230,De ville rykke kampen til om eftermiddagen,10,"rykke, kampen, eftermiddagen",31.21727646,-3.764300652,1,1,1,1,1,0,1,1,1,1,1,1,6.65,1,17
231,Der er en skuespiller der henviser til min hjemmeside,1,"skuespiller, henviser, hjemmeside",20.61874788,-6.083836115,1,1,1,1,1,1,1,1,1,1,1,1,6.38,0,8
232,Han blev populær da hans forslag reddede regeringen,2,"populær, forslag, regeringen",52.82875701,-5.516023772,1,1,1,1,1,1,1,1,1,1,1,1,5.81,1,16
233,Han har skiftet til et gymnasium tæt ved sin bolig,3,"skiftet, gymnasium, bolig",9.895649952,-6.135494523,1,1,1,1,1,1,1,1,0,1,1,0,5.5,1,16
234,De har beregnet hvordan vi kan opnå en højere fart,4,"beregnet, opnå, fart",11.39424157,-4.388291207,1,1,1,1,1,1,1,1,1,1,1,1,6.31,3,16
235,Det var spændende at de åbnede for telefonerne,5,"spændende, åbnede, telefonerne",7.680323478,-4.587423913,1,1,1,1,1,1,1,1,0,1,1,1,4.31,1,16
236,Efter nogle minutter havde vi vænnet os til situationen,6,"minutter, vænnet, situationen",26.25553747,-5.678521427,1,1,1,1,1,1,1,1,1,1,0,1,6.69,1,16
237,Forlaget havde lovet hende en solid indtægt,7,"forlaget, lovet, indtægt",19.28491847,-3.44104801,0,1,1,1,1,1,1,1,1,1,0,1,6.19,1,16
238,Han tilgav at de havde tegnet på hans skærm,8,"tilgav, tegnet, skærm",29.08045846,-5.826988309,1,1,1,0,1,1,1,1,1,1,1,1,5.29,2,17
239,Det er reklamer som opretholder vores økonomi,9,"reklamer, opretholder, økonomi",13.98384967,-5.600649435,1,1,1,1,1,0,1,1,1,1,1,1,4.88,1,16
240,Hun efterlyste mere velfærd og mere demokrati,10,"efterlyste, velfærd, demokrati",33.25394439,-5.790312479,1,1,1,1,1,1,1,1,1,1,1,1,6.5,0,16
241,Der var en gruppe der straks forlod biografen,1,"gruppe, forlod, biografen",23.26252171,-6.698598754,1,1,1,1,1,0,1,1,1,1,0,1,6.4,0,15
242,Jeg var færdig da jeg nåede til den femte kilometer,2,"færdig, nåede, kilometer",11.00814854,-5.848665077,1,1,1,0,1,1,1,1,1,1,1,1,5.6,0,15
243,Han havde tegnet ansigter på alle maskinerne,3,"tegnet, ansigter, maskinerne",15.41163378,-6.356032148,1,1,1,1,1,1,1,0,1,1,1,1,6,0,16
244,Hun fastsætter hvordan vi skal binde buketterne,4,"fastsætter, binde, buketterne",14.17243403,-3.109137455,1,1,1,1,1,1,1,1,1,1,1,1,4.63,0,8
245,Det er smukt at de gerne vil yde en større hjælp,5,"smukt, yde, hjælp",7.301196291,-2.473490354,1,1,1,1,1,1,1,1,1,1,1,1,5.69,1,16
246,I aften skal jeg optræde med mit orkester,6,"aften, optræde, orkester",13.15117328,-6.261290073,1,1,1,0,1,1,1,1,1,1,1,1,6.88,0,16
247,Den her tegnestue har designet vores hotel,7,"tegnestue, designet, hotel",17.0771007,-3.54839464,1,1,1,1,1,1,1,1,1,1,1,1,5.63,0,8
248,Hun gentog at hun gerne ville forberede vidnet,8,"gentog, forberede, vidnet",6.917021246,-2.521419472,1,1,1,1,1,1,1,1,0,1,1,1,5.75,0,16
249,Det var en computer som kunne måle deres tempo,9,"computer, måle, tempo",21.95190799,-4.368726948,1,1,1,1,1,1,1,1,1,1,1,1,5,1,16
250,Han smilede og lo altid ad deres vittigheder,10,"smilede, lo, vittigheder",8.158610983,-1.860490523,1,1,1,1,0,1,1,1,1,1,1,1,6.38,0,8
251,Der er heldigvis mange chefer der vækker tillid,1,"chefer, vækker, tillid",8.254221889,-1.008224831,1,1,1,0,1,1,1,1,1,1,1,1,5.67,1,15
252,De er grundige når de behandler et lovforslag,2,"grundige, behandler, lovforslag",20.67212401,-3.500024537,1,1,1,1,1,0,1,1,1,1,1,1,6.73,0,15
253,En eller anden journalist ventede på mig i køkkenet,3,"journalist, ventede, køkkenet",23.18806417,-5.272171547,1,1,1,1,1,1,1,1,1,1,1,1,5.93,0,15
254,Han testede hvor meget kæden kunne klare,4,"testede, kæden, klare",11.07517058,-3.57627892,1,1,1,1,1,1,1,1,1,1,1,1,6.13,0,16
255,Det var vanskeligt for ham at parkere vognen,5,"vanskeligt, parkere, vognen",12.91921241,-4.033984612,1,1,1,1,1,1,1,1,1,1,1,1,6.4,0,15
256,På tirsdag kan vi svare på din henvendelse,6,"tirsdag, svare, henvendelse",8.639796229,-8.212382304,1,0,1,1,1,1,1,1,1,1,1,1,6.44,0,16
257,Han havde overladt alle sine forretninger til hustruen,7,"overladt, forretninger, hustruen",13.13093684,-6.232809774,1,1,1,1,1,1,1,1,1,1,1,0,6.31,0,16
258,De hævder at hun altid overholder loven,8,"hævder, overholder, loven",38.71018961,-5.404691123,1,1,1,1,1,1,1,1,1,1,1,1,6.31,0,16
259,Det er en økonom som har rådgivet universitetet,9,"økonom, rådgivet, universitetet",44.78736025,-3.838883337,1,1,1,1,1,1,1,1,1,1,1,1,5.93,1,15
260,Det vil enten begejstre eller irritere køberne,10,"begejstre, irritere, køberne",10.93338731,-1.564497073,1,1,1,1,1,1,1,1,1,1,1,1,6.2,0,15
261,Der var et barn der gerne ville hive i mit hår,1,"barn, hive, hår",5.98298392,-0.024687785,1,1,1,1,1,1,1,1,1,1,1,1,5.57,0,14
262,Vi var trygge selvom vi havde sparet på sikkerheden,2,"trygge, sparet, sikkerheden",21.20718365,-5.562866703,1,1,1,1,1,1,1,1,0,1,1,1,4.93,0,14
263,I kan finde alle glassene bagerst i skabet,3,"finde, glassene, skabet",34.76854605,-7.236079015,1,1,1,1,1,1,1,1,1,1,1,1,6.43,0,14
264,De vil offentliggøre hvornår de tæller stemmerne,4,"offentliggøre, tæller, stemmerne",19.49432946,-4.172644925,1,1,1,1,1,1,1,1,0,1,1,1,6.5,0,8
265,Det er muligt at tegningerne virker ret enkle,5,"muligt, tegningerne, enkle",18.1618352,-3.198131509,1,1,1,1,1,1,1,1,1,1,1,1,6.13,0,8
266,I marts giftede hun sig med en overlæge,6,"marts, giftede, overlæge",23.10999597,-4.365907105,1,1,1,1,1,1,1,1,1,1,1,1,6.5,0,14
267,Jeg har lige købt en gave til min kammerat,7,"købt, gave, kammerat",10.30920665,-5.711697314,1,1,1,1,1,1,1,1,0,1,1,1,6.6,0,15
268,Hun håbede at hun kunne udstille sine malerier,8,"håbede, udstille, malerier",10.44459344,-0.77483731,1,1,1,1,1,1,1,1,1,1,1,1,6.75,0,8
269,Det var oppositionen som dominerede mødet,9,"oppositionen, dominerede, mødet",19.79018648,-4.747979349,1,1,1,1,1,1,1,1,1,1,1,1,5.64,0,14
270,Deres udspil fristede både mig og min chef,10,"udspil, fristede, chef",15.38017744,-3.365964875,1,1,1,1,1,1,1,1,1,1,0,1,5.63,0,8
271,Der er bare nogle argumenter der vejer tungere,1,"argumenter, vejer, tungere",21.69396864,-4.766061901,1,1,1,1,0,1,1,1,1,1,1,1,6.07,0,14
272,Han er professionel fordi han prioriterer sit arbejde,2,"professionel, prioriterer, arbejde",16.32294867,-6.90713847,1,1,1,1,1,1,1,1,0,1,1,1,6,1,8
273,Deres samtaler drejede sig typisk kun om sport,3,"samtaler, drejede, sport",17.88156128,-6.251508115,1,1,1,1,1,1,1,1,1,1,1,1,6.21,0,14
274,Vi aftalte hvem der skulle tjekke deres historie,4,"aftalte, tjekke, historie",14.13526997,-6.432707996,1,1,1,1,1,1,1,1,0,1,1,1,4.79,1,14
275,Det var praktisk at operationen foregik om sommeren,5,"praktisk, operationen, sommeren",13.90886635,-6.661437041,1,1,1,1,1,0,1,1,0,1,1,1,5.71,0,14
276,I januar drømmer vi ofte om solskin og ferie,6,"januar, drømmer, ferie",13.99963729,-5.489317436,1,1,1,1,1,1,1,1,1,1,1,1,6.57,0,14
277,Vores kaptajn præsenterede mig for ambassadøren,7,"kaptajn, præsenterede, ambassadøren",6.600296664,-7.600813021,1,1,1,1,1,0,1,1,1,1,1,1,5.64,0,14
278,Hun har tilladt at vi ryger på vores værksted,8,"tilladt, ryger, værksted",12.32989575,-5.170965699,1,1,1,1,1,1,0,1,1,1,1,1,5.57,0,14
279,Det er ofte humor som præger vores branche,9,"humor, præger, branche",12.75922819,-4.399790968,1,1,1,1,1,1,0,1,1,1,1,1,5.07,0,15
280,Han har både drevet et flyselskab og et landbrug,10,"drevet, flyselskab, landbrug",16.3484995,-4.678730644,1,1,1,1,1,1,1,1,0,1,0,1,6.13,0,8
281,Der var mange passagerer der sov i lufthavnen,1,"passagerer, sov, lufthavnen",22.11615443,-7.933455968,1,1,1,1,1,1,1,1,1,1,1,1,6,0,15
282,Han var tit glad når han uddelte pakker,2,"glad, uddelte, pakker",11.30878915,-3.971995366,1,1,1,1,1,1,1,1,1,1,1,1,6.2,0,15
283,De har åbnet et plejehjem på min gade,3,"åbnet, plejehjem, gade",7.545438298,-2.952686751,1,1,1,1,1,1,1,1,1,1,0,1,5.53,0,15
284,Hun forstår hvorfor man skal inddrage børnene,4,"forstår, inddrage, børnene",18.96708884,-7.312519915,1,1,1,1,1,1,1,1,0,1,1,1,5.8,0,15
285,Det er helt åbenlyst at vi kun fejrer vinderne,5,"åbenlyst, fejrer, vinderne",13.27896457,-3.789915838,1,1,1,1,1,1,1,1,0,1,1,1,6.07,0,15
286,I går fungerede radioen kun om formiddagen,6,"fungerede, radioen, formiddagen",47.96368871,-3.75,1,1,1,1,1,1,1,1,1,1,1,1,6.07,0,15
287,Forhandleren fristede os med italiensk is,7,"forhandleren, fristede, is",15.52590604,-6.051730987,1,1,1,1,1,1,1,1,0,1,1,1,5.33,0,15
288,Hun synes at jeg skal blande mig i forhandlingerne,8,"synes, blande, forhandlingerne",35.47537477,-5.423681397,1,1,1,1,1,0,1,1,1,1,1,1,6.07,0,15
289,Det var en politiker som havde formuleret kravet,9,"politiker, formuleret, kravet",7.85793628,-3.239930039,1,1,0,1,0,0,1,1,1,1,1,1,5.87,0,15
290,Han ville fremstille sine påstande i radioen,10,"fremstille, påstande, radioen",7.154713499,-4.384470712,1,1,1,1,1,1,1,1,0,1,1,1,5.13,0,15
291,Der er medarbejdere der flygter til vores konkurrent,1,"medarbejdere, flygter, konkurrent",10.55808386,-5.480378911,1,1,0,1,1,0,1,1,1,1,1,1,6.07,1,15
292,Vi er berømte fordi vi har forandret branchen,2,"berømte, forandret, branchen",15.97180346,-5.324292239,1,1,1,1,1,1,1,1,1,1,1,1,5.93,0,15
293,Kunderne bør nok tilpasse deres forventninger,3,"kunderne, tilpasse, forventninger",12.61372305,-3.447198651,1,1,1,1,1,1,1,1,1,1,1,1,6,0,15
294,De vil undersøge hvordan man kan forbedre reglerne,4,"undersøge, forbedre, reglerne",17.77734877,-4.632701465,1,1,1,1,1,1,1,1,1,1,1,1,6.27,0,15
295,Det var uheldigt at jeg stadig sad på den post,5,"uheldigt, sad, post",13.0336813,-7.367128632,1,0,1,1,1,1,1,1,1,1,1,1,5.87,0,15
296,I juni oversatte han et eventyr til fransk,6,"juni, eventyr, fransk",12.38264064,-5.639141647,1,1,1,1,1,1,1,1,1,1,1,1,5.93,1,15
297,Vi bør nok overføre mere kraft til motorerne,7,"overføre, kraft, motorerne",12.98332017,-4.775024927,1,1,1,1,0,1,1,1,0,1,1,1,5.4,1,15
298,Jeg ville ønske at vi kunne udskyde jubilæet,8,"ønske, udskyde, jubilæet",8.029947846,-2.289517861,1,1,1,1,1,1,1,1,0,1,1,1,6.75,0,8
299,Det er den her mail som morede næstformanden,9,"mail, morede, næstformanden",16.52942143,-2.914086657,1,1,1,1,1,0,1,1,0,1,1,1,5.75,0,8
300,Hun vil uddanne sig til betjent eller psykolog,10,"uddanne, betjent, psykolog",11.3870893,-2.752225523,1,1,1,1,1,0,1,1,0,1,1,1,6.75,0,8
301,Der var nogle lærere der ville indføre flere prøver,1,"lærere, indføre, prøver",25.94311699,-3.490659472,1,1,1,1,1,1,1,1,1,1,1,1,6.53,1,15
302,Hun var barsk da hun kritiserede borgmesteren,2,"barsk, kritiserede, borgmesteren",26.49774496,-4.597710628,1,1,1,1,1,0,1,1,1,1,1,1,6.43,1,14
303,Kampen kan sagtens ende helt uden mål,3,"kampen, ende, mål",242.3748695,-2.45818357,0,1,1,1,1,1,1,1,1,1,1,1,5.85,0,13
304,Han lærte hvordan man kan indrette sin hverdag,4,"lærte, indrette, hverdag",15.30610661,-4.284876561,1,1,1,1,1,1,1,1,0,1,0,1,5.21,0,14
305,Det er tydeligt at de glæder sig over stigningen,5,"tydeligt, glæder, stigningen",18.68748882,-5.446389352,1,1,1,1,1,1,1,0,1,1,1,1,5.73,1,15
306,Næste år vil jeg gerne fortsætte som ordfører,6,"år, fortsætte, ordfører",20.39793715,-6.30754404,1,1,1,1,1,1,1,1,1,1,1,1,6.23,0,13
307,Manuskriptet kostede os kun et mindre beløb,7,"manuskriptet, kostede, beløb",20.61953652,-5.585619648,1,1,1,1,1,1,1,1,1,1,1,1,6.5,0,8
308,Hun har foreslået at vi også takker borgerne,8,"foreslået, takker, borgerne",19.41077897,-5.719250991,1,0,1,1,1,1,1,1,1,1,1,1,5.69,0,13
309,Det var et foto som skulle forestille hendes datter,9,"foto, forestille, datter",21.12662048,-5.985470629,1,1,1,1,1,1,1,1,1,1,1,1,4.62,0,13
310,Han tiltrak bare mere arbejde og flere opgaver,10,"tiltrak, arbejde, opgaver",6.920560541,-7.737668642,1,1,1,1,1,1,1,1,1,1,1,1,4.69,0,13
311,Der er ret mange amerikanere der ejer en gård,1,"amerikanere, ejer, gård",17.59795946,-5.446487641,1,1,1,1,1,1,1,1,1,1,1,1,6.63,0,8
312,Han er heldig fordi lægen vil lave en henvisning,2,"heldig, lægen, henvisning",13.63782914,-5.509917385,1,1,1,1,1,1,1,1,1,1,1,1,5.15,1,13
313,Mit barnebarn gled frem og tilbage på det glatte gulv,3,"barnebarn, gled, gulv",8.363926802,-3.276559479,1,1,1,1,0,1,1,1,1,1,1,1,6,0,8
314,Vi har opsporet hvem der først oversatte sloganet,4,"opsporet, oversatte, sloganet",9.141651188,-5.116331711,1,1,1,1,1,0,1,1,1,1,1,1,5.88,0,8
315,Det var klogt at sportsdirektøren indgik et forlig,5,"klogt, indgik, forlig",12.15576596,-5.429005945,1,1,1,1,1,1,1,1,1,1,0,1,6,0,8
316,I den her park kan man hvile sig i skyggen,6,"park, hvile, skyggen",14.84837034,-2.835107436,1,1,1,1,1,1,1,1,0,1,1,1,5.85,0,13
317,De indkøber for eksempel fødevarer til forbrugerne,7,"indkøber, fødevarer, forbrugerne",14.23620301,-4.18368196,1,1,1,1,1,0,1,1,1,1,1,1,5.88,0,8
318,Han hævdede rent faktisk at han ejede tre villaer,8,"hævdede, ejede, villaer",11.42869289,-5.000000035,1,1,1,1,1,1,1,1,1,1,1,1,6,0,8
319,Det er aktiviteter som kan påvirke klimaet,9,"aktiviteter, påvirke, klimaet",16.25622214,-4.241128173,1,1,1,1,1,0,1,1,0,1,1,1,5.86,1,14
320,Jeg har allerede vænnet mig til den hårde træning,10,"vænnet, hårde, træning",247.0959995,-7.373259207,1,1,1,1,1,1,1,1,1,1,1,1,6.71,0,14
321,Der var en ingeniør der overvågede processen,1,"ingeniør, overvågede, processen",20.53343511,-6.519566056,1,1,1,1,0,1,1,1,1,1,1,1,6.75,0,8
322,De var meget ivrige fordi vi stemte på deres idé,2,"ivrige, stemte, idé",31.03512333,-3.270105471,1,1,1,1,1,1,1,1,0,1,1,1,6.38,0,8
323,Langt de fleste forandringer sker i storbyerne,3,"forandringer, sker, storbyerne",6.613354774,-5.413395527,1,1,1,1,1,1,1,1,1,1,1,1,6.5,0,8
324,Han viste os hvordan man skal binde et slips,4,"viste, binde, slips",15.49700631,-5.479254483,1,1,1,1,1,1,1,0,1,1,1,1,6.79,0,14
325,Det er imponerende at de har vundet guld,5,"imponerende, vundet, guld",6.614176486,-1.045720147,1,1,1,1,0,1,1,1,1,1,1,1,6.71,0,14
326,I den her sæson må vi nok opgive håndbold,6,"sæson, opgive, håndbold",7.094013444,-4.532127329,1,1,1,1,1,1,1,1,1,1,1,1,5.79,0,14
327,Jeres afdeling har tilbudt mig en ret lav løn,7,"afdeling, tilbudt, løn",20.37894229,-3.843989454,1,1,1,1,1,0,1,1,1,1,1,1,6,1,15
